city,Year,Population
San Bernardino city,2014,214222.0
San Bruno city,2014,42992.0
San Buenaventura (Ventura) city,2014,109535.0
San Carlos city,2014,29723.0
San Clemente city,2014,64947.0
Sand City city,2014,377.0
San Diego city,2014,1375831.0
San Dimas city,2014,34319.0
San Fernando city,2014,24399.0
San Francisco city,2014,850750.0
San Gabriel city,2014,40053.0
Sanger city,2014,24661.0
San Jacinto city,2014,46231.0
San Joaquin city,2014,4004.0
San Jose city,2014,1014273.0
San Juan Bautista city,2014,1906.0
San Juan Capistrano city,2014,35779.0
San Leandro city,2014,89195.0
San Luis Obispo city,2014,46478.0
San Marcos city,2014,92372.0
San Marino city,2014,13263.0
San Mateo city,2014,102695.0
San Pablo city,2014,30365.0
San Rafael city,2014,59130.0
San Ramon city,2014,74329.0
Santa Ana city,2014,333431.0
Santa Barbara city,2014,90815.0
Santa Clara city,2014,121967.0
Santa Clarita city,2014,212283.0
Santa Cruz city,2014,63172.0
Santa Fe Springs city,2014,17359.0
Santa Maria city,2014,103021.0
Santa Monica city,2014,92087.0
Santa Paula city,2014,30348.0
Santa Rosa city,2014,180585.0
Santee city,2014,56828.0
Saratoga city,2014,31008.0
Sausalito city,2014,7159.0
Scotts Valley city,2014,11828.0
Seal Beach city,2014,24506.0
Seaside city,2014,33945.0
Sebastopol city,2014,7706.0
Selma city,2014,24325.0
Shafter city,2014,17612.0
Shasta Lake city,2014,10112.0
Sierra Madre city,2014,11056.0
Signal Hill city,2014,11420.0
Simi Valley city,2014,126239.0
Solana Beach city,2014,13283.0
Soledad city,2014,25239.0
Solvang city,2014,5468.0
Sonoma city,2014,10968.0
Sonora city,2014,4807.0
South El Monte city,2014,20351.0
South Gate city,2014,94741.0
South Lake Tahoe city,2014,21512.0
South Pasadena city,2014,25897.0
South San Francisco city,2014,66813.0
Stanton city,2014,38504.0
Stockton city,2014,301062.0
Suisun City city,2014,29064.0
Sunnyvale city,2014,149769.0
Susanville city,2014,15505.0
Sutter Creek city,2014,2480.0
Taft city,2014,8887.0
Tehachapi city,2014,13227.0
Tehama city,2014,414.0
Temecula city,2014,108671.0
Temple City city,2014,35922.0
Thousand Oaks city,2014,128636.0
Tiburon town,2014,9194.0
Torrance city,2014,146845.0
Tracy city,2014,85713.0
Trinidad city,2014,358.0
Truckee town,2014,16238.0
Tulare city,2014,61444.0
Tulelake city,2014,986.0
Turlock city,2014,70868.0
Tustin city,2014,80138.0
Twentynine Palms city,2014,25751.0
Ukiah city,2014,15873.0
Union City city,2014,73481.0
Upland city,2014,75542.0
Vacaville city,2014,95394.0
Vallejo city,2014,119602.0
Vernon city,2014,113.0
Victorville city,2014,121087.0
Villa Park city,2014,5933.0
Visalia city,2014,128482.0
Vista city,2014,96999.0
Walnut city,2014,29940.0
Walnut Creek city,2014,67500.0
Wasco city,2014,26201.0
Waterford city,2014,8679.0
Watsonville city,2014,52959.0
Weed city,2014,2712.0
West Covina city,2014,107447.0
West Hollywood city,2014,35475.0
Westlake Village city,2014,8452.0
Westminster city,2014,91555.0
Westmorland city,2014,2263.0
West Sacramento city,2014,51637.0
Wheatland city,2014,3508.0
Whittier city,2014,86482.0
Wildomar city,2014,35111.0
Williams city,2014,5098.0
Willits city,2014,4862.0
Willows city,2014,6064.0
Windsor town,2014,27280.0
Winters city,2014,6922.0
Woodlake city,2014,7629.0
Woodland city,2014,57328.0
Woodside town,2014,5521.0
Yorba Linda city,2014,67359.0
Yountville city,2014,2971.0
Yreka city,2014,7533.0
Yuba City city,2014,65757.0
Yucaipa city,2014,52730.0
Yucca Valley town,2014,21304.0
Adelanto city,2015,32961.0
Agoura Hills city,2015,20740.0
Alameda city,2015,78459.0
Albany city,2015,19662.0
Alhambra city,2015,84843.0
Aliso Viejo city,2015,49499.0
Alturas city,2015,2626.0
Amador City city,2015,186.0
American Canyon city,2015,20317.0
Anaheim city,2015,348251.0
Anderson city,2015,10179.0
Angels city,2015,3755.0
Antioch city,2015,110308.0
Apple Valley town,2015,71747.0
Arcadia city,2015,57835.0
Arcata city,2015,17945.0
Arroyo Grande city,2015,18027.0
Artesia city,2015,16835.0
Arvin city,2015,20741.0
Atascadero city,2015,29910.0
Atherton town,2015,7163.0
Atwater city,2015,29048.0
Auburn city,2015,13868.0
Avalon city,2015,3769.0
Avenal city,2015,13236.0
Azusa city,2015,49502.0
Bakersfield city,2015,371348.0
Baldwin Park city,2015,76427.0
Banning city,2015,30761.0
Barstow city,2015,23689.0
Beaumont city,2015,43479.0
Bell city,2015,35892.0
Bellflower city,2015,77794.0
Bell Gardens city,2015,42743.0
Belmont city,2015,27204.0
Belvedere city,2015,2128.0
Benicia city,2015,28029.0
Berkeley city,2015,120749.0
Beverly Hills city,2015,34386.0
Big Bear Lake city,2015,5201.0
Biggs city,2015,1690.0
Bishop city,2015,3772.0
Blue Lake city,2015,1248.0
Blythe city,2015,19202.0
Bradbury city,2015,1079.0
Brawley city,2015,25728.0
Brea city,2015,41693.0
Brentwood city,2015,58796.0
Brisbane city,2015,4712.0
Buellton city,2015,5069.0
Buena Park city,2015,82770.0
Burbank city,2015,104472.0
Burlingame city,2015,30458.0
Calabasas city,2015,24102.0
Calexico city,2015,39767.0
California City city,2015,13202.0
Calimesa city,2015,8493.0
Calipatria city,2015,7391.0
Calistoga city,2015,5285.0
Camarillo city,2015,67171.0
Campbell city,2015,42262.0
Canyon Lake city,2015,11007.0
Capitola city,2015,10166.0
Carlsbad city,2015,112662.0
Carmel-by-the-Sea city,2015,3821.0
Carpinteria city,2015,13605.0
Carson city,2015,92752.0
Cathedral City city,2015,53516.0
Ceres city,2015,47431.0
Cerritos city,2015,49546.0
Chico city,2015,90369.0
Chino city,2015,85169.0
Chino Hills city,2015,77826.0
Chowchilla city,2015,18391.0
Chula Vista city,2015,264206.0
Citrus Heights city,2015,86543.0
Claremont city,2015,35962.0
Clayton city,2015,11840.0
Clearlake city,2015,15101.0
Cloverdale city,2015,8774.0
Clovis city,2015,103828.0
Coachella city,2015,44344.0
Coalinga city,2015,16755.0
Colfax city,2015,1994.0
Colma town,2015,1505.0
Colton city,2015,54291.0
Colusa city,2015,6105.0
Commerce city,2015,12963.0
Compton city,2015,97639.0
Concord city,2015,128303.0
Corcoran city,2015,22516.0
Corning city,2015,7531.0
Corona city,2015,163154.0
Coronado city,2015,23682.0
Corte Madera town,2015,9899.0
Costa Mesa city,2015,112808.0
Cotati city,2015,7427.0
Covina city,2015,48569.0
Crescent City city,2015,6767.0
Cudahy city,2015,24111.0
Culver City city,2015,39369.0
Cupertino city,2015,60519.0
Cypress city,2015,48994.0
Daly City city,2015,106538.0
Dana Point city,2015,33968.0
Danville town,2015,44311.0
Davis city,2015,67367.0
Delano city,2015,52495.0
Del Mar city,2015,4330.0
Del Rey Oaks city,2015,1674.0
Desert Hot Springs city,2015,28145.0
Diamond Bar city,2015,56429.0
Dinuba city,2015,23554.0
Dixon city,2015,19299.0
Dorris city,2015,903.0
Dos Palos city,2015,5084.0
Downey city,2015,113260.0
Duarte city,2015,21809.0
Dublin city,2015,57545.0
Dunsmuir city,2015,1571.0
East Palo Alto city,2015,29661.0
Eastvale city,2015,59231.0
El Cajon city,2015,103230.0
El Centro city,2015,43655.0
El Cerrito city,2015,24902.0
Elk Grove city,2015,165997.0
El Monte city,2015,115824.0
El Paso de Robles (Paso Robles) city,2015,31346.0
El Segundo city,2015,16891.0
Emeryville city,2015,11765.0
Encinitas city,2015,62590.0
Escalon city,2015,7474.0
Escondido city,2015,150683.0
Etna city,2015,711.0
Eureka city,2015,26902.0
Exeter city,2015,10486.0
Fairfax town,2015,7624.0
Fairfield city,2015,112365.0
Farmersville city,2015,10710.0
Ferndale city,2015,1364.0
Fillmore city,2015,15444.0
Firebaugh city,2015,8276.0
Folsom city,2015,75935.0
Fontana city,2015,206163.0
Fort Bragg city,2015,7277.0
Fort Jones city,2015,683.0
Fortuna city,2015,12057.0
Foster City city,2015,33470.0
Fountain Valley city,2015,56643.0
Fowler city,2015,6242.0
Fremont city,2015,231687.0
Fresno city,2015,518203.0
Fullerton city,2015,139982.0
Galt city,2015,25226.0
Gardena city,2015,59946.0
Garden Grove city,2015,174343.0
Gilroy city,2015,53259.0
Glendale city,2015,199197.0
Glendora city,2015,51769.0
Goleta city,2015,30963.0
Gonzales city,2015,8402.0
Grand Terrace city,2015,12387.0
Grass Valley city,2015,12929.0
Greenfield city,2015,17047.0
Gridley city,2015,6617.0
Grover Beach city,2015,13526.0
Guadalupe city,2015,7279.0
Gustine city,2015,5712.0
Half Moon Bay city,2015,12657.0
Hanford city,2015,55608.0
Hawaiian Gardens city,2015,14461.0
Hawthorne city,2015,87669.0
Hayward city,2015,157999.0
Healdsburg city,2015,11705.0
Hemet city,2015,83305.0
Hercules city,2015,25271.0
Hermosa Beach city,2015,19688.0
Hesperia city,2015,92653.0
Hidden Hills city,2015,1908.0
Highland city,2015,54553.0
Hillsborough town,2015,11466.0
Hollister city,2015,36960.0
Holtville city,2015,6360.0
Hughson city,2015,7319.0
Huntington Beach city,2015,200653.0
Huntington Park city,2015,58933.0
Huron city,2015,6802.0
Imperial city,2015,16943.0
Imperial Beach city,2015,27259.0
Indian Wells city,2015,5255.0
Indio city,2015,86917.0
Industry city,2015,207.0
Inglewood city,2015,110693.0
Ione city,2015,6997.0
Irvine city,2015,255382.0
Irwindale city,2015,1421.0
Isleton city,2015,830.0
Jackson city,2015,4660.0
Jurupa Valley city,2015,101460.0
Kerman city,2015,14412.0
King City city,2015,13789.0
Kingsburg city,2015,11800.0
La Ca単ada Flintridge city,2015,20428.0
Lafayette city,2015,25790.0
Laguna Beach city,2015,23232.0
Laguna Hills city,2015,31973.0
Laguna Niguel city,2015,65396.0
Laguna Woods city,2015,16251.0
La Habra city,2015,60473.0
La Habra Heights city,2015,6639.0
Lake Elsinore city,2015,61955.0
Lake Forest city,2015,81964.0
Lakeport city,2015,4780.0
Lakewood city,2015,80951.0
La Mesa city,2015,59697.0
La Mirada city,2015,49129.0
Lancaster city,2015,159813.0
La Palma city,2015,15806.0
La Puente city,2015,40412.0
La Quinta city,2015,40209.0
Larkspur city,2015,12383.0
Lathrop city,2015,20287.0
La Verne city,2015,32442.0
Lawndale city,2015,33157.0
Lemon Grove city,2015,26554.0
Lemoore city,2015,25452.0
Lincoln city,2015,46286.0
Lindsay city,2015,13147.0
Live Oak city,2015,8411.0
Livermore city,2015,88248.0
Livingston city,2015,13810.0
Lodi city,2015,64264.0
Loma Linda city,2015,23952.0
Lomita city,2015,20659.0
Lompoc city,2015,43916.0
Long Beach city,2015,470128.0
Loomis town,2015,6691.0
Los Alamitos city,2015,11621.0
Los Altos city,2015,30667.0
Los Altos Hills town,2015,8468.0
Los Angeles city,2015,3938568.0
Los Banos city,2015,37151.0
Los Gatos town,2015,30970.0
Loyalton city,2015,704.0
Lynwood city,2015,71397.0
McFarland city,2015,13941.0
Madera city,2015,63690.0
Malibu city,2015,12865.0
Mammoth Lakes town,2015,8045.0
Manhattan Beach city,2015,35504.0
Manteca city,2015,75088.0
Maricopa city,2015,1187.0
Marina city,2015,21071.0
Martinez city,2015,38050.0
Marysville city,2015,12154.0
Maywood city,2015,27636.0
Mendota city,2015,11526.0
Menifee city,2015,86411.0
Menlo Park city,2015,33389.0
Merced city,2015,81775.0
Millbrae city,2015,22803.0
Mill Valley city,2015,14377.0
Milpitas city,2015,77485.0
Mission Viejo city,2015,96543.0
Modesto city,2015,209245.0
Monrovia city,2015,37153.0
Montague city,2015,1388.0
Montclair city,2015,38447.0
Montebello city,2015,63379.0
Monterey city,2015,28496.0
Monterey Park city,2015,60908.0
Monte Sereno city,2015,3489.0
Moorpark city,2015,36000.0
Moraga town,2015,17220.0
Moreno Valley city,2015,202919.0
Morgan Hill city,2015,42991.0
Morro Bay city,2015,10578.0
Mountain View city,2015,80345.0
Mount Shasta city,2015,3274.0
Murrieta city,2015,109372.0
Napa city,2015,79636.0
National City city,2015,60721.0
Needles city,2015,4949.0
Nevada City city,2015,3153.0
Newark city,2015,45236.0
Newman city,2015,10840.0
Newport Beach city,2015,86585.0
Norco city,2015,26307.0
Norwalk city,2015,106237.0
Novato city,2015,55406.0
Oakdale city,2015,22125.0
Oakland city,2015,418211.0
Oakley city,2015,39708.0
Oceanside city,2015,175189.0
Ojai city,2015,7593.0
Ontario city,2015,170210.0
Orange city,2015,140503.0
Orange Cove city,2015,10258.0
Orinda city,2015,19251.0
Orland city,2015,7489.0
Oroville city,2015,18956.0
Oxnard city,2015,206228.0
Pacifica city,2015,39309.0
Pacific Grove city,2015,15551.0
Palmdale city,2015,156988.0
Palm Desert city,2015,51552.0
Palm Springs city,2015,47111.0
Palo Alto city,2015,66782.0
Palos Verdes Estates city,2015,13555.0
Paradise town,2015,26378.0
Paramount city,2015,54971.0
Parlier city,2015,15141.0
Pasadena city,2015,141025.0
Patterson city,2015,21509.0
Perris city,2015,74613.0
Petaluma city,2015,60295.0
Pico Rivera city,2015,63670.0
Piedmont city,2015,11361.0
Pinole city,2015,19232.0
Pismo Beach city,2015,8117.0
Pittsburg city,2015,69260.0
Placentia city,2015,52202.0
Placerville city,2015,10762.0
Pleasant Hill city,2015,34700.0
Pleasanton city,2015,79265.0
Plymouth city,2015,973.0
Point Arena city,2015,448.0
Pomona city,2015,152407.0
Porterville city,2015,59721.0
Port Hueneme city,2015,22334.0
Portola city,2015,1906.0
Portola Valley town,2015,4603.0
Poway city,2015,49877.0
Rancho Cordova city,2015,70640.0
Rancho Cucamonga city,2015,174203.0
Rancho Mirage city,2015,17886.0
Rancho Palos Verdes city,2015,42401.0
Rancho Santa Margarita city,2015,49027.0
Red Bluff city,2015,14097.0
Redding city,2015,90963.0
Redlands city,2015,70625.0
Redondo Beach city,2015,67771.0
Redwood City city,2015,85274.0
Reedley city,2015,25541.0
Rialto city,2015,102485.0
Richmond city,2015,109062.0
Ridgecrest city,2015,28616.0
Rio Dell city,2015,3368.0
Rio Vista city,2015,8280.0
Ripon city,2015,15185.0
Riverbank city,2015,23879.0
Riverside city,2015,320483.0
Rocklin city,2015,60908.0
Rohnert Park city,2015,42293.0
Rolling Hills city,2015,1882.0
Rolling Hills Estates city,2015,8211.0
Rosemead city,2015,54440.0
Roseville city,2015,130018.0
Ross town,2015,2482.0
Sacramento city,2015,488133.0
St. Helena city,2015,6026.0
Salinas city,2015,156244.0
San Anselmo town,2015,12608.0
San Bernardino city,2015,215325.0
San Bruno city,2015,43243.0
San Buenaventura (Ventura) city,2015,109668.0
San Carlos city,2015,29901.0
San Clemente city,2015,65142.0
Sand City city,2015,378.0
San Diego city,2015,1387323.0
San Dimas city,2015,34344.0
San Fernando city,2015,24708.0
San Francisco city,2015,863010.0
San Gabriel city,2015,40089.0
Sanger city,2015,24802.0
San Jacinto city,2015,46645.0
San Joaquin city,2015,4013.0
San Jose city,2015,1025980.0
San Juan Bautista city,2015,1926.0
San Juan Capistrano city,2015,35935.0
San Leandro city,2015,90538.0
San Luis Obispo city,2015,47016.0
San Marcos city,2015,93199.0
San Marino city,2015,13308.0
San Mateo city,2015,103509.0
San Pablo city,2015,30724.0
San Rafael city,2015,59074.0
San Ramon city,2015,75138.0
Santa Ana city,2015,333417.0
Santa Barbara city,2015,91275.0
Santa Clara city,2015,126024.0
Santa Clarita city,2015,213184.0
Santa Cruz city,2015,64082.0
Santa Fe Springs city,2015,17859.0
Santa Maria city,2015,104462.0
Santa Monica city,2015,92422.0
Santa Paula city,2015,30336.0
Santa Rosa city,2015,181485.0
Santee city,2015,57471.0
Saratoga city,2015,30977.0
Sausalito city,2015,7157.0
Scotts Valley city,2015,11907.0
Seal Beach city,2015,24475.0
Seaside city,2015,34255.0
Sebastopol city,2015,7731.0
Selma city,2015,24440.0
Shafter city,2015,18367.0
Shasta Lake city,2015,10094.0
Sierra Madre city,2015,11065.0
Signal Hill city,2015,11466.0
Simi Valley city,2015,126123.0
Solana Beach city,2015,13374.0
Soledad city,2015,24882.0
Solvang city,2015,5680.0
Sonoma city,2015,11009.0
Sonora city,2015,4812.0
South El Monte city,2015,20688.0
South Gate city,2015,95597.0
South Lake Tahoe city,2015,21722.0
South Pasadena city,2015,25914.0
South San Francisco city,2015,67221.0
Stanton city,2015,38655.0
Stockton city,2015,304550.0
Suisun City city,2015,29265.0
Sunnyvale city,2015,151630.0
Susanville city,2015,15209.0
Sutter Creek city,2015,2503.0
Taft city,2015,9466.0
Tehachapi city,2015,13004.0
Tehama city,2015,417.0
Temecula city,2015,111140.0
Temple City city,2015,36059.0
Thousand Oaks city,2015,128632.0
Tiburon town,2015,9190.0
Torrance city,2015,146950.0
Tracy city,2015,86953.0
Trinidad city,2015,357.0
Truckee town,2015,16266.0
Tulare city,2015,61915.0
Tulelake city,2015,987.0
Turlock city,2015,71776.0
Tustin city,2015,80088.0
Twentynine Palms city,2015,25871.0
Ukiah city,2015,15831.0
Union City city,2015,74343.0
Upland city,2015,75970.0
Vacaville city,2015,96224.0
Vallejo city,2015,120477.0
Vernon city,2015,113.0
Victorville city,2015,121442.0
Villa Park city,2015,5928.0
Visalia city,2015,129369.0
Vista city,2015,99623.0
Walnut city,2015,29990.0
Walnut Creek city,2015,68747.0
Wasco city,2015,26161.0
Waterford city,2015,8744.0
Watsonville city,2015,53528.0
Weed city,2015,2542.0
West Covina city,2015,107540.0
West Hollywood city,2015,35856.0
Westlake Village city,2015,8457.0
Westminster city,2015,91582.0
Westmorland city,2015,2258.0
West Sacramento city,2015,52431.0
Wheatland city,2015,3728.0
Whittier city,2015,86705.0
Wildomar city,2015,35317.0
Williams city,2015,5106.0
Willits city,2015,4867.0
Willows city,2015,6011.0
Windsor town,2015,27373.0
Winters city,2015,7006.0
Woodlake city,2015,7625.0
Woodland city,2015,58385.0
Woodside town,2015,5555.0
Yorba Linda city,2015,67527.0
Yountville city,2015,2992.0
Yreka city,2015,7539.0
Yuba City city,2015,66134.0
Yucaipa city,2015,52981.0
Yucca Valley town,2015,21431.0
Adelanto city,2016,33249.0
Agoura Hills city,2016,20665.0
Alameda city,2016,79091.0
Albany city,2016,19713.0
Alhambra city,2016,85221.0
Aliso Viejo city,2016,50858.0
Alturas city,2016,2589.0
Amador City city,2016,188.0
American Canyon city,2016,20268.0
Anaheim city,2016,350013.0
Anderson city,2016,10193.0
Angels city,2016,3849.0
Antioch city,2016,111088.0
Apple Valley town,2016,72262.0
Arcadia city,2016,58238.0
Arcata city,2016,18100.0
Arroyo Grande city,2016,18051.0
Artesia city,2016,16826.0
Arvin city,2016,20997.0
Atascadero city,2016,30173.0
Atherton town,2016,7234.0
Atwater city,2016,29196.0
Auburn city,2016,13919.0
Avalon city,2016,3758.0
Avenal city,2016,12434.0
Azusa city,2016,49683.0
Bakersfield city,2016,374699.0
Baldwin Park city,2016,76219.0
Banning city,2016,30963.0
Barstow city,2016,23894.0
Beaumont city,2016,45156.0
Bell city,2016,35756.0
Bellflower city,2016,77581.0
Bell Gardens city,2016,42675.0
Belmont city,2016,27177.0
Belvedere city,2016,2123.0
Benicia city,2016,28126.0
Berkeley city,2016,121547.0
Beverly Hills city,2016,34402.0
Big Bear Lake city,2016,5232.0
Biggs city,2016,1695.0
Bishop city,2016,3728.0
Blue Lake city,2016,1266.0
Blythe city,2016,19786.0
Bradbury city,2016,1075.0
Brawley city,2016,26050.0
Brea city,2016,42392.0
Brentwood city,2016,60571.0
Brisbane city,2016,4711.0
Buellton city,2016,5097.0
Buena Park city,2016,82988.0
Burbank city,2016,104097.0
Burlingame city,2016,30439.0
Calabasas city,2016,24068.0
Calexico city,2016,40028.0
California City city,2016,13656.0
Calimesa city,2016,8621.0
Calipatria city,2016,7505.0
Calistoga city,2016,5285.0
Camarillo city,2016,67141.0
Campbell city,2016,42303.0
Canyon Lake city,2016,11095.0
Capitola city,2016,10178.0
Carlsbad city,2016,113265.0
Carmel-by-the-Sea city,2016,3836.0
Carpinteria city,2016,13598.0
Carson city,2016,92572.0
Cathedral City city,2016,53943.0
Ceres city,2016,47985.0
Cerritos city,2016,50346.0
Chico city,2016,91564.0
Chino city,2016,87468.0
Chino Hills city,2016,78452.0
Chowchilla city,2016,18179.0
Chula Vista city,2016,266238.0
Citrus Heights city,2016,87179.0
Claremont city,2016,35889.0
Clayton city,2016,12008.0
Clearlake city,2016,15526.0
Cloverdale city,2016,8781.0
Clovis city,2016,106353.0
Coachella city,2016,44785.0
Coalinga city,2016,16827.0
Colfax city,2016,1997.0
Colma town,2016,1500.0
Colton city,2016,54507.0
Colusa city,2016,6156.0
Commerce city,2016,12922.0
Compton city,2016,97281.0
Concord city,2016,129036.0
Corcoran city,2016,22716.0
Corning city,2016,7546.0
Corona city,2016,166067.0
Coronado city,2016,25084.0
Corte Madera town,2016,9864.0
Costa Mesa city,2016,112933.0
Cotati city,2016,7443.0
Covina city,2016,48393.0
Crescent City city,2016,6644.0
Cudahy city,2016,24039.0
Culver City city,2016,39231.0
Cupertino city,2016,60900.0
Cypress city,2016,48813.0
Daly City city,2016,106882.0
Dana Point city,2016,33931.0
Danville town,2016,44715.0
Davis city,2016,68028.0
Delano city,2016,52568.0
Del Mar city,2016,4348.0
Del Rey Oaks city,2016,1679.0
Desert Hot Springs city,2016,28397.0
Diamond Bar city,2016,56581.0
Dinuba city,2016,23875.0
Dixon city,2016,19766.0
Dorris city,2016,902.0
Dos Palos city,2016,5217.0
Downey city,2016,112896.0
Duarte city,2016,21725.0
Dublin city,2016,59579.0
Dunsmuir city,2016,1571.0
East Palo Alto city,2016,29811.0
Eastvale city,2016,60670.0
El Cajon city,2016,103527.0
El Centro city,2016,44028.0
El Cerrito city,2016,25458.0
Elk Grove city,2016,169156.0
El Monte city,2016,115550.0
El Paso de Robles (Paso Robles) city,2016,31722.0
El Segundo city,2016,16835.0
Emeryville city,2016,11792.0
Encinitas city,2016,62921.0
Escalon city,2016,7501.0
Escondido city,2016,151204.0
Etna city,2016,713.0
Eureka city,2016,27153.0
Exeter city,2016,10477.0
Fairfax town,2016,7602.0
Fairfield city,2016,114456.0
Farmersville city,2016,10702.0
Ferndale city,2016,1371.0
Fillmore city,2016,15557.0
Firebaugh city,2016,8290.0
Folsom city,2016,76999.0
Fontana city,2016,208718.0
Fort Bragg city,2016,7291.0
Fort Jones city,2016,685.0
Fortuna city,2016,12199.0
Foster City city,2016,34279.0
Fountain Valley city,2016,56423.0
Fowler city,2016,6353.0
Fremont city,2016,233478.0
Fresno city,2016,521426.0
Fullerton city,2016,140454.0
Galt city,2016,25619.0
Gardena city,2016,59873.0
Garden Grove city,2016,174571.0
Gilroy city,2016,55369.0
Glendale city,2016,200118.0
Glendora city,2016,51882.0
Goleta city,2016,30921.0
Gonzales city,2016,8428.0
Grand Terrace city,2016,12460.0
Grass Valley city,2016,12927.0
Greenfield city,2016,17361.0
Gridley city,2016,6622.0
Grover Beach city,2016,13586.0
Guadalupe city,2016,7288.0
Gustine city,2016,5801.0
Half Moon Bay city,2016,12761.0
Hanford city,2016,55663.0
Hawaiian Gardens city,2016,14423.0
Hawthorne city,2016,87685.0
Hayward city,2016,159331.0
Healdsburg city,2016,11806.0
Hemet city,2016,84121.0
Hercules city,2016,25416.0
Hermosa Beach city,2016,19722.0
Hesperia city,2016,93251.0
Hidden Hills city,2016,1916.0
Highland city,2016,54752.0
Hillsborough town,2016,11490.0
Hollister city,2016,37576.0
Holtville city,2016,6418.0
Hughson city,2016,7398.0
Huntington Beach city,2016,200284.0
Huntington Park city,2016,58701.0
Huron city,2016,6924.0
Imperial city,2016,17089.0
Imperial Beach city,2016,27329.0
Indian Wells city,2016,5324.0
Indio city,2016,88196.0
Industry city,2016,207.0
Inglewood city,2016,110271.0
Ione city,2016,7031.0
Irvine city,2016,265345.0
Irwindale city,2016,1427.0
Isleton city,2016,835.0
Jackson city,2016,4695.0
Jurupa Valley city,2016,103240.0
Kerman city,2016,14534.0
King City city,2016,13830.0
Kingsburg city,2016,11831.0
La Ca単ada Flintridge city,2016,20397.0
Lafayette city,2016,26153.0
Laguna Beach city,2016,23165.0
Laguna Hills city,2016,31849.0
Laguna Niguel city,2016,65145.0
Laguna Woods city,2016,16184.0
La Habra city,2016,60292.0
La Habra Heights city,2016,6616.0
Lake Elsinore city,2016,63807.0
Lake Forest city,2016,83019.0
Lakeport city,2016,4909.0
Lakewood city,2016,80895.0
La Mesa city,2016,59751.0
La Mirada city,2016,49054.0
Lancaster city,2016,159633.0
La Palma city,2016,15739.0
La Puente city,2016,40250.0
La Quinta city,2016,40777.0
Larkspur city,2016,12362.0
Lathrop city,2016,21564.0
La Verne city,2016,32350.0
Lawndale city,2016,33033.0
Lemon Grove city,2016,26766.0
Lemoore city,2016,25666.0
Lincoln city,2016,46965.0
Lindsay city,2016,13213.0
Live Oak city,2016,8707.0
Livermore city,2016,89572.0
Livingston city,2016,13916.0
Lodi city,2016,64578.0
Loma Linda city,2016,24091.0
Lomita city,2016,20629.0
Lompoc city,2016,43537.0
Long Beach city,2016,468719.0
Loomis town,2016,6747.0
Los Alamitos city,2016,11587.0
Los Altos city,2016,30728.0
Los Altos Hills town,2016,8564.0
Los Angeles city,2016,3963226.0
Los Banos city,2016,37461.0
Los Gatos town,2016,30984.0
