county,Year,Density
California,2013,13827794.0
Alameda County,2013,589352.0
Alpine County,2013,1765.0
Amador County,2013,18241.0
Butte County,2013,96989.0
Calaveras County,2013,28024.0
Colusa County,2013,7892.0
Contra Costa County,2013,404915.0
Del Norte County,2013,11323.0
El Dorado County,2013,88683.0
Fresno County,2013,321458.0
Glenn County,2013,10893.0
Humboldt County,2013,62181.0
Imperial County,2013,56665.0
Inyo County,2013,9497.0
Kern County,2013,289153.0
Kings County,2013,44600.0
Lake County,2013,35612.0
Lassen County,2013,12730.0
Los Angeles County,2013,3473910.0
Madera County,2013,49669.0
Marin County,2013,111823.0
Mariposa County,2013,10315.0
Mendocino County,2013,40614.0
Merced County,2013,84060.0
Modoc County,2013,5225.0
Mono County,2013,13980.0
Monterey County,2013,139733.0
Napa County,2013,55110.0
Nevada County,2013,52940.0
Orange County,2013,1061560.0
Placer County,2013,156172.0
Plumas County,2013,15666.0
Riverside County,2013,813435.0
Sacramento County,2013,559945.0
San Benito County,2013,17979.0
San Bernardino County,2013,704913.0
San Diego County,2013,1179403.0
San Francisco County,2013,383113.0
San Joaquin County,2013,236448.0
San Luis Obispo County,2013,118512.0
San Mateo County,2013,272698.0
Santa Barbara County,2013,153977.0
Santa Clara County,2013,643833.0
Santa Cruz County,2013,104975.0
Shasta County,2013,77761.0
Sierra County,2013,2342.0
Siskiyou County,2013,24080.0
Solano County,2013,154210.0
Sonoma County,2013,206148.0
Stanislaus County,2013,180054.0
Sutter County,2013,34044.0
Tehama County,2013,27180.0
Trinity County,2013,8764.0
Tulare County,2013,144606.0
Tuolumne County,2013,31332.0
Ventura County,2013,283532.0
Yolo County,2013,75904.0
Yuba County,2013,27856.0
California,2014,13906691.0
Alameda County,2014,592396.0
Alpine County,2014,1764.0
Amador County,2014,18239.0
Butte County,2014,97517.0
Calaveras County,2014,28079.0
Colusa County,2014,7937.0
Contra Costa County,2014,406788.0
Del Norte County,2014,11334.0
El Dorado County,2014,88861.0
Fresno County,2014,324157.0
Glenn County,2014,10920.0
Humboldt County,2014,62353.0
Imperial County,2014,56958.0
Inyo County,2014,9512.0
Kern County,2014,291351.0
Kings County,2014,44836.0
Lake County,2014,35646.0
Lassen County,2014,12740.0
Los Angeles County,2014,3488796.0
Madera County,2014,49874.0
Marin County,2014,112338.0
Mariposa County,2014,10346.0
Mendocino County,2014,40715.0
Merced County,2014,84186.0
Modoc County,2014,5235.0
Mono County,2014,14003.0
Monterey County,2014,140156.0
Napa County,2014,55321.0
Nevada County,2014,53117.0
Orange County,2014,1071573.0
Placer County,2014,157421.0
Plumas County,2014,15698.0
Riverside County,2014,819390.0
Sacramento County,2014,561853.0
San Benito County,2014,18116.0
San Bernardino County,2014,708284.0
San Diego County,2014,1187506.0
San Francisco County,2014,387526.0
San Joaquin County,2014,237422.0
San Luis Obispo County,2014,119276.0
San Mateo County,2014,273518.0
Santa Barbara County,2014,154387.0
Santa Clara County,2014,651024.0
Santa Cruz County,2014,105247.0
Shasta County,2014,77907.0
Sierra County,2014,2343.0
Siskiyou County,2014,24035.0
Solano County,2014,154980.0
Sonoma County,2014,207146.0
Stanislaus County,2014,180317.0
Sutter County,2014,34102.0
Tehama County,2014,27258.0
Trinity County,2014,8786.0
Tulare County,2014,145467.0
Tuolumne County,2014,31370.0
Ventura County,2014,284558.0
Yolo County,2014,76705.0
Yuba County,2014,28001.0
California,2015,13985614.0
Alameda County,2015,595760.0
Alpine County,2015,1766.0
Amador County,2015,18249.0
Butte County,2015,98073.0
Calaveras County,2015,28143.0
Colusa County,2015,7983.0
Contra Costa County,2015,408729.0
Del Norte County,2015,11337.0
El Dorado County,2015,89020.0
Fresno County,2015,325987.0
Glenn County,2015,10947.0
Humboldt County,2015,62586.0
Imperial County,2015,57195.0
Inyo County,2015,9529.0
Kern County,2015,293527.0
Kings County,2015,45244.0
Lake County,2015,35679.0
Lassen County,2015,12742.0
Los Angeles County,2015,3504162.0
Madera County,2015,50074.0
Marin County,2015,112699.0
Mariposa County,2015,10371.0
Mendocino County,2015,40817.0
Merced County,2015,84327.0
Modoc County,2015,5244.0
Mono County,2015,14035.0
Monterey County,2015,140497.0
Napa County,2015,55455.0
Nevada County,2015,53406.0
Orange County,2015,1080462.0
Placer County,2015,159368.0
Plumas County,2015,15734.0
Riverside County,2015,826172.0
Sacramento County,2015,563611.0
San Benito County,2015,18215.0
San Bernardino County,2015,711634.0
San Diego County,2015,1194252.0
San Francisco County,2015,390124.0
San Joaquin County,2015,238530.0
San Luis Obispo County,2015,120242.0
San Mateo County,2015,274827.0
Santa Barbara County,2015,155142.0
Santa Clara County,2015,660436.0
Santa Cruz County,2015,105528.0
Shasta County,2015,78096.0
Sierra County,2015,2347.0
Siskiyou County,2015,23983.0
Solano County,2015,155621.0
Sonoma County,2015,207769.0
Stanislaus County,2015,180698.0
Sutter County,2015,34182.0
Tehama County,2015,27342.0
Trinity County,2015,8824.0
Tulare County,2015,146465.0
Tuolumne County,2015,31431.0
Ventura County,2015,285870.0
Yolo County,2015,76927.0
Yuba County,2015,28199.0
California,2016,14075264.0
Alameda County,2016,600467.0
Alpine County,2016,1769.0
Amador County,2016,18274.0
Butte County,2016,98692.0
Calaveras County,2016,27731.0
Colusa County,2016,8022.0
Contra Costa County,2016,411110.0
Del Norte County,2016,11362.0
El Dorado County,2016,89573.0
Fresno County,2016,328158.0
Glenn County,2016,10967.0
Humboldt County,2016,62792.0
Imperial County,2016,57484.0
Inyo County,2016,9541.0
Kern County,2016,295641.0
Kings County,2016,45808.0
Lake County,2016,34543.0
Lassen County,2016,12751.0
Los Angeles County,2016,3525319.0
Madera County,2016,50272.0
Marin County,2016,113028.0
Mariposa County,2016,10401.0
Mendocino County,2016,40919.0
Merced County,2016,84540.0
Modoc County,2016,5253.0
Mono County,2016,14071.0
Monterey County,2016,141033.0
Napa County,2016,55613.0
Nevada County,2016,53609.0
Orange County,2016,1090560.0
Placer County,2016,161500.0
Plumas County,2016,15767.0
Riverside County,2016,832169.0
Sacramento County,2016,566342.0
San Benito County,2016,18422.0
San Bernardino County,2016,715166.0
San Diego County,2016,1203503.0
San Francisco County,2016,393507.0
San Joaquin County,2016,240826.0
San Luis Obispo County,2016,121031.0
San Mateo County,2016,276278.0
Santa Barbara County,2016,156150.0
Santa Clara County,2016,665631.0
Santa Cruz County,2016,105831.0
Shasta County,2016,78469.0
Sierra County,2016,2347.0
Siskiyou County,2016,24061.0
Solano County,2016,156966.0
Sonoma County,2016,208324.0
Stanislaus County,2016,181055.0
Sutter County,2016,34337.0
Tehama County,2016,27427.0
Trinity County,2016,8854.0
Tulare County,2016,147688.0
Tuolumne County,2016,31478.0
Ventura County,2016,287180.0
Yolo County,2016,77251.0
Yuba County,2016,28401.0
California,2017,14172348.0
Alameda County,2017,605974.0
Alpine County,2017,1770.0
Amador County,2017,18318.0
Butte County,2017,99438.0
Calaveras County,2017,27917.0
Colusa County,2017,8056.0
Contra Costa County,2017,413957.0
Del Norte County,2017,11395.0
El Dorado County,2017,90320.0
Fresno County,2017,330920.0
Glenn County,2017,11021.0
Humboldt County,2017,63027.0
Imperial County,2017,57714.0
Inyo County,2017,9570.0
Kern County,2017,297819.0
Kings County,2017,46383.0
Lake County,2017,34695.0
Lassen County,2017,12762.0
Los Angeles County,2017,3542673.0
Madera County,2017,50570.0
Marin County,2017,113127.0
Mariposa County,2017,10425.0
Mendocino County,2017,41090.0
Merced County,2017,85266.0
Modoc County,2017,5259.0
Mono County,2017,14113.0
Monterey County,2017,141679.0
Napa County,2017,55826.0
Nevada County,2017,53864.0
Orange County,2017,1101613.0
Placer County,2017,163862.0
Plumas County,2017,15818.0
Riverside County,2017,839357.0
Sacramento County,2017,569623.0
San Benito County,2017,18871.0
San Bernardino County,2017,719171.0
San Diego County,2017,1213992.0
San Francisco County,2017,397476.0
San Joaquin County,2017,242746.0
San Luis Obispo County,2017,121880.0
San Mateo County,2017,278055.0
Santa Barbara County,2017,157006.0
Santa Clara County,2017,671004.0
Santa Cruz County,2017,106311.0
Shasta County,2017,78840.0
Sierra County,2017,2356.0
Siskiyou County,2017,24138.0
Solano County,2017,157905.0
Sonoma County,2017,209209.0
Stanislaus County,2017,181586.0
Sutter County,2017,34412.0
Tehama County,2017,27529.0
Trinity County,2017,8888.0
Tulare County,2017,148935.0
Tuolumne County,2017,31523.0
Ventura County,2017,288792.0
Yolo County,2017,77920.0
Yuba County,2017,28582.0
California,2018,14275353.0
Alameda County,2018,615030.0
Alpine County,2018,1778.0
Amador County,2018,18452.0
Butte County,2018,100074.0
Calaveras County,2018,28063.0
Colusa County,2018,8061.0
Contra Costa County,2018,415893.0
Del Norte County,2018,11418.0
El Dorado County,2018,91119.0
Fresno County,2018,333779.0
Glenn County,2018,11038.0
Humboldt County,2018,63331.0
Imperial County,2018,57871.0
Inyo County,2018,9593.0
Kern County,2018,300359.0
Kings County,2018,46636.0
Lake County,2018,34714.0
Lassen County,2018,12775.0
Los Angeles County,2018,3561369.0
Madera County,2018,50968.0
Marin County,2018,113185.0
Mariposa County,2018,10404.0
Mendocino County,2018,40907.0
Merced County,2018,85763.0
Modoc County,2018,5266.0
Mono County,2018,14134.0
Monterey County,2018,142461.0
Napa County,2018,55435.0
Nevada County,2018,54266.0
Orange County,2018,1110839.0
Placer County,2018,167085.0
Plumas County,2018,15870.0
Riverside County,2018,847661.0
Sacramento County,2018,574375.0
San Benito County,2018,19436.0
San Bernardino County,2018,725898.0
San Diego County,2018,1224237.0
San Francisco County,2018,401412.0
San Joaquin County,2018,245482.0
San Luis Obispo County,2018,122959.0
San Mateo County,2018,279453.0
Santa Barbara County,2018,158304.0
Santa Clara County,2018,678442.0
Santa Cruz County,2018,106725.0
Shasta County,2018,79192.0
Sierra County,2018,2361.0
Siskiyou County,2018,24208.0
Solano County,2018,158818.0
Sonoma County,2018,205114.0
Stanislaus County,2018,182276.0
Sutter County,2018,34484.0
Tehama County,2018,27681.0
Trinity County,2018,8955.0
Tulare County,2018,150162.0
Tuolumne County,2018,31613.0
Ventura County,2018,291006.0
Yolo County,2018,78496.0
Yuba County,2018,28667.0
California,2019,14366336.0
Alameda County,2019,622922.0
Alpine County,2019,1782.0
Amador County,2019,18625.0
Butte County,2019,86209.0
Calaveras County,2019,28181.0
Colusa County,2019,8125.0
Contra Costa County,2019,418707.0
Del Norte County,2019,11434.0
El Dorado County,2019,91660.0
Fresno County,2019,336473.0
Glenn County,2019,11098.0
Humboldt County,2019,63727.0
Imperial County,2019,58280.0
Inyo County,2019,9609.0
Kern County,2019,302898.0
Kings County,2019,46965.0
Lake County,2019,34572.0
Lassen County,2019,12784.0
Los Angeles County,2019,3579329.0
Madera County,2019,51438.0
Marin County,2019,113344.0
Mariposa County,2019,10445.0
Mendocino County,2019,41027.0
Merced County,2019,86388.0
Modoc County,2019,5276.0
Mono County,2019,14208.0
Monterey County,2019,143201.0
Napa County,2019,55647.0
Nevada County,2019,54809.0
Orange County,2019,1118110.0
Placer County,2019,168919.0
Plumas County,2019,15916.0
Riverside County,2019,857148.0
Sacramento County,2019,578937.0
San Benito County,2019,19979.0
San Bernardino County,2019,731400.0
San Diego County,2019,1233777.0
San Francisco County,2019,406413.0
San Joaquin County,2019,248636.0
San Luis Obispo County,2019,123963.0
San Mateo County,2019,280450.0
Santa Barbara County,2019,159246.0
Santa Clara County,2019,686266.0
Santa Cruz County,2019,107149.0
Shasta County,2019,78618.0
Sierra County,2019,2368.0
Siskiyou County,2019,24226.0
Solano County,2019,159806.0
Sonoma County,2019,208305.0
Stanislaus County,2019,182978.0
Sutter County,2019,34583.0
Tehama County,2019,27840.0
Trinity County,2019,9013.0
Tulare County,2019,151603.0
Tuolumne County,2019,31700.0
Ventura County,2019,291512.0
Yolo County,2019,79263.0
Yuba County,2019,29049.0
